wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,det_depth_valid_count,detections_json,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h,closest_depth_m,input_fps,output_fps,det_fps,safety_state_hz,e2e_latency_ms_disp_to_safety,e2e_latency_ms_det_to_safety,camera_node_ms,camera_intensity_ms,camera_disparity_ms,yolo_node_ms,yolo_infer_ms,yolo_queue_ms,depth_node_ms,depth_crop_ms,depth_distance_ms,depth_publish_ms,safety_node_ms,safety_eval_ms,safety_publish_ms,total_system_latency_ms
2026-04-24T16:03:13.760,1777035793.760296,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,7.93,3.96,0.00,7.93,,,31.05,42.67,0.67,,,,3.79,0.09,0.02,3.54,0.17,0.00,0.10,35.00
2026-04-24T16:03:13.854,1777035793.854726,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":845.06,""cy"":437.24,""w"":85.76,""h"":103.37,""x1"":201,""y1"":96,""x2"":222,""y2"":122,""conf"":0.5862,""depth_m"":null,""depth_valid"":false}]",0.5862,845.06,437.24,85.76,103.37,,8.65,5.77,2.88,5.77,,,51.82,51.82,1.61,215.03,212.83,786.50,2.47,0.12,0.03,1.82,0.06,0.00,0.00,269.38
2026-04-24T16:03:13.954,1777035793.954800,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.85,""cy"":437.63,""w"":86.07,""h"":103.53,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.6012,""depth_m"":null,""depth_valid"":false}]",0.6012,844.85,437.63,86.07,103.53,,8.95,6.71,4.48,6.71,4.15,1492.80,31.53,31.53,2.03,128.71,126.94,887.45,2.61,0.09,0.02,2.40,1.81,0.00,1.75,164.67
2026-04-24T16:03:14.056,1777035794.056621,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.86,""cy"":437.79,""w"":86.44,""h"":104.03,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.6013,""depth_m"":null,""depth_valid"":false}]",0.6013,844.86,437.79,86.44,104.03,,9.11,7.29,5.47,5.47,4.15,1492.80,46.07,46.07,0.37,114.72,113.33,916.65,1.92,0.09,0.02,1.71,0.06,0.00,0.00,162.77
2026-04-24T16:03:14.154,1777035794.154772,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.86,""cy"":437.79,""w"":86.44,""h"":104.03,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.6013,""depth_m"":null,""depth_valid"":false}]",0.6013,844.86,437.79,86.44,104.03,,10.82,7.73,4.64,6.18,8.37,1028.07,2.76,38.75,2.76,114.72,113.33,916.65,0.57,0.11,0.03,0.29,0.07,0.00,0.00,118.12
2026-04-24T16:03:14.254,1777035794.254656,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.97,""cy"":437.42,""w"":86.09,""h"":102.79,""x1"":200,""y1"":97,""x2"":222,""y2"":122,""conf"":0.6046,""depth_m"":null,""depth_valid"":false}]",0.6046,844.97,437.42,86.09,102.79,,10.71,8.04,5.36,5.36,8.37,1028.07,45.41,45.41,0.73,128.06,126.37,1005.15,0.70,0.12,0.03,0.43,0.06,0.00,0.00,174.23
2026-04-24T16:03:14.356,1777035794.356340,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.82,""cy"":437.51,""w"":86.06,""h"":103.69,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.6024,""depth_m"":null,""depth_valid"":false}]",0.6024,844.82,437.51,86.06,103.69,,10.61,8.25,5.89,5.89,136.76,1162.78,45.71,45.71,0.52,132.43,130.31,904.96,0.44,0.09,0.02,0.23,0.28,0.00,0.20,178.86
2026-04-24T16:03:14.455,1777035794.455436,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.82,""cy"":437.51,""w"":86.06,""h"":103.69,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.6024,""depth_m"":null,""depth_valid"":false}]",0.6024,844.82,437.51,86.06,103.69,,11.61,8.44,5.28,6.33,88.58,1281.02,40.29,40.29,0.45,132.43,130.31,904.96,0.46,0.09,0.03,0.26,0.27,0.00,0.17,173.45
2026-04-24T16:03:14.554,1777035794.554770,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.9,""cy"":437.48,""w"":86.82,""h"":103.74,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.5957,""depth_m"":null,""depth_valid"":false}]",0.5957,844.90,437.48,86.82,103.74,,10.51,8.60,5.73,5.73,88.58,1281.02,28.50,28.50,0.45,149.73,148.10,1011.38,0.46,0.09,0.03,0.26,0.27,0.00,0.17,178.97
2026-04-24T16:03:14.654,1777035794.654588,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.87,""cy"":437.58,""w"":86.46,""h"":103.38,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.6062,""depth_m"":null,""depth_valid"":false}]",0.6062,844.87,437.58,86.46,103.38,,10.02,10.02,10.02,10.02,137.83,1174.40,41.59,41.59,0.42,132.58,131.15,1035.20,2.35,0.11,0.05,2.10,0.18,0.00,0.11,176.69
2026-04-24T16:03:14.755,1777035794.755124,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":845.0,""cy"":437.42,""w"":86.64,""h"":103.81,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.5774,""depth_m"":null,""depth_valid"":false}]",0.5774,845.00,437.42,86.64,103.81,,14.97,9.98,9.98,9.98,90.79,1187.16,0.85,35.75,0.85,137.30,133.22,1088.15,1.67,0.08,0.02,1.15,0.15,0.00,0.00,139.97
2026-04-24T16:03:14.854,1777035794.854708,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":845.0,""cy"":437.42,""w"":86.64,""h"":103.81,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.5774,""depth_m"":null,""depth_valid"":false}]",0.5774,845.00,437.42,86.64,103.81,,13.34,10.00,6.67,6.67,90.79,1187.16,2.85,34.75,2.85,137.30,133.22,1088.15,0.44,0.07,0.02,0.20,0.10,0.00,0.00,140.70
2026-04-24T16:03:14.954,1777035794.954837,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":845.14,""cy"":437.42,""w"":86.25,""h"":102.97,""x1"":201,""y1"":96,""x2"":222,""y2"":122,""conf"":0.5653,""depth_m"":null,""depth_valid"":false}]",0.5653,845.14,437.42,86.25,102.97,,12.50,10.00,7.50,7.50,9.52,1246.27,35.14,35.14,2.23,140.18,137.87,793.09,0.97,0.08,0.02,0.78,0.16,0.00,0.09,176.45
2026-04-24T16:03:15.055,1777035795.055114,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.92,""cy"":437.31,""w"":86.47,""h"":103.48,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.584,""depth_m"":null,""depth_valid"":false}]",0.5840,844.92,437.31,86.47,103.48,,11.99,9.99,7.99,7.99,5.45,1367.61,0.45,45.87,0.45,137.58,135.59,797.37,0.54,0.10,0.03,0.25,0.15,0.00,0.09,138.71
2026-04-24T16:03:15.154,1777035795.154953,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.92,""cy"":437.31,""w"":86.47,""h"":103.48,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.584,""depth_m"":null,""depth_valid"":false}]",0.5840,844.92,437.31,86.47,103.48,,11.66,10.00,6.66,6.66,5.45,1367.61,39.00,39.00,0.49,137.58,135.59,797.37,1.45,0.09,0.02,1.27,0.06,0.00,0.00,178.09
2026-04-24T16:03:15.254,1777035795.254726,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.97,""cy"":437.28,""w"":86.24,""h"":103.21,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.5732,""depth_m"":null,""depth_valid"":false}]",0.5732,844.97,437.28,86.24,103.21,,11.43,10.00,7.14,7.14,6.78,965.93,49.98,49.98,0.42,148.45,145.87,749.77,1.12,0.07,0.02,0.96,0.12,0.00,0.07,199.67
2026-04-24T16:03:15.355,1777035795.355520,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":845.1,""cy"":437.26,""w"":86.45,""h"":102.92,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.5837,""depth_m"":null,""depth_valid"":false}]",0.5837,845.10,437.26,86.45,102.92,,11.24,9.99,7.49,7.49,5.03,890.99,0.36,33.09,0.36,136.47,134.79,804.72,0.82,0.13,0.02,0.47,0.47,0.00,0.34,138.11
2026-04-24T16:03:15.454,1777035795.454549,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.85,""cy"":437.61,""w"":86.54,""h"":104.04,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.6139,""depth_m"":null,""depth_valid"":false}]",0.6139,844.85,437.61,86.54,104.04,,12.23,10.00,7.78,7.78,2.37,939.53,0.33,45.62,0.33,108.39,106.88,871.72,3.22,0.19,0.04,2.89,0.16,0.00,0.10,112.10
2026-04-24T16:03:15.557,1777035795.557498,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":845.06,""cy"":436.73,""w"":86.02,""h"":103.11,""x1"":201,""y1"":96,""x2"":222,""y2"":122,""conf"":0.5891,""depth_m"":null,""depth_valid"":false}]",0.5891,845.06,436.73,86.02,103.11,,11.97,9.97,7.98,6.98,2.37,939.53,0.42,29.84,0.42,120.61,119.20,821.04,1.57,0.09,0.02,1.36,0.12,0.00,0.00,122.72
2026-04-24T16:03:15.654,1777035795.654763,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":845.06,""cy"":436.73,""w"":86.02,""h"":103.11,""x1"":201,""y1"":96,""x2"":222,""y2"":122,""conf"":0.5891,""depth_m"":null,""depth_valid"":false}]",0.5891,845.06,436.73,86.02,103.11,,10.28,10.28,0.00,10.28,3.00,1083.12,1.72,34.61,1.72,120.61,119.20,821.04,0.93,0.08,0.02,0.74,1.58,0.00,1.52,124.84
2026-04-24T16:03:15.754,1777035795.754721,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.9,""cy"":437.22,""w"":86.47,""h"":103.23,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.5841,""depth_m"":null,""depth_valid"":false}]",0.5841,844.90,437.22,86.47,103.23,,10.14,10.14,5.07,5.07,3.00,1083.12,0.40,35.57,0.40,117.73,116.28,895.70,1.33,0.07,0.02,1.16,0.89,0.00,0.00,120.34
2026-04-24T16:03:15.854,1777035795.854838,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.94,""cy"":437.42,""w"":86.34,""h"":103.92,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.5911,""depth_m"":null,""depth_valid"":false}]",0.5911,844.94,437.42,86.34,103.92,,10.09,10.09,6.73,6.73,102.92,1060.10,0.35,37.69,0.35,140.26,136.31,905.54,0.34,0.07,0.02,0.18,0.13,0.00,0.07,141.08
2026-04-24T16:03:15.960,1777035795.960788,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.94,""cy"":437.42,""w"":86.34,""h"":103.92,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.5911,""depth_m"":null,""depth_valid"":false}]",0.5911,844.94,437.42,86.34,103.92,,9.92,9.92,4.96,4.96,102.92,1060.10,0.43,42.56,0.43,140.26,136.31,905.54,0.36,0.11,0.02,0.17,0.06,0.00,0.00,141.12
2026-04-24T16:03:16.054,1777035796.054703,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.75,""cy"":437.6,""w"":86.01,""h"":103.74,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.603,""depth_m"":null,""depth_valid"":false}]",0.6030,844.75,437.60,86.01,103.74,,10.06,10.06,6.03,6.03,51.17,1186.55,36.53,36.53,0.44,144.92,143.35,832.39,0.47,0.10,0.02,0.25,0.14,0.00,0.08,182.06
2026-04-24T16:03:16.154,1777035796.154851,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.71,""cy"":437.77,""w"":86.22,""h"":104.37,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.6006,""depth_m"":null,""depth_valid"":false}]",0.6006,844.71,437.77,86.22,104.37,,8.37,10.04,6.70,5.02,51.17,1186.55,53.80,53.80,0.44,118.23,116.87,861.53,0.47,0.10,0.02,0.25,0.14,0.00,0.08,172.64
2026-04-24T16:03:16.257,1777035796.257205,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.71,""cy"":437.69,""w"":86.48,""h"":104.21,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.5935,""depth_m"":null,""depth_valid"":false}]",0.5935,844.71,437.69,86.48,104.21,,8.57,10.00,7.15,5.72,8.01,1044.45,0.37,42.38,0.37,142.25,140.80,840.12,0.48,0.09,0.03,0.23,0.42,0.00,0.31,143.52
2026-04-24T16:03:16.354,1777035796.354742,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.71,""cy"":437.69,""w"":86.48,""h"":104.21,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.5935,""depth_m"":null,""depth_valid"":false}]",0.5935,844.71,437.69,86.48,104.21,,10.03,10.03,6.27,6.27,6.73,1123.89,0.65,33.21,0.65,142.25,140.80,840.12,1.72,0.08,0.02,1.53,0.17,0.00,0.10,144.78
2026-04-24T16:03:16.454,1777035796.454785,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.78,""cy"":437.21,""w"":86.17,""h"":104.55,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.5973,""depth_m"":null,""depth_valid"":false}]",0.5973,844.78,437.21,86.17,104.55,,10.03,10.03,6.69,5.57,6.73,1123.89,1.18,19.35,1.18,150.56,149.01,800.10,0.41,0.09,0.02,0.22,0.06,0.00,0.00,152.22
2026-04-24T16:03:16.555,1777035796.555121,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.86,""cy"":437.44,""w"":86.38,""h"":103.94,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.5956,""depth_m"":null,""depth_valid"":false}]",0.5956,844.86,437.44,86.38,103.94,,10.02,10.02,7.02,6.01,4.60,1132.06,0.56,34.84,0.56,167.20,165.26,800.10,3.01,0.10,0.02,2.78,0.69,0.00,0.62,171.46
2026-04-24T16:03:16.654,1777035796.654773,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.86,""cy"":437.44,""w"":86.38,""h"":103.94,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.5956,""depth_m"":null,""depth_valid"":false}]",0.5956,844.86,437.44,86.38,103.94,,10.94,10.02,6.38,6.38,5.53,1060.51,0.42,36.33,0.42,167.20,165.26,935.39,0.69,0.15,0.03,0.35,0.23,0.00,0.17,168.54
2026-04-24T16:03:16.771,1777035796.771720,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":845.07,""cy"":437.48,""w"":86.21,""h"":103.58,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.5964,""depth_m"":null,""depth_valid"":false}]",0.5964,845.07,437.48,86.21,103.58,,0.00,8.55,8.55,0.00,5.53,1060.51,26.77,26.77,0.42,135.72,133.97,977.81,0.69,0.15,0.03,0.35,0.23,0.00,0.17,163.42
2026-04-24T16:03:16.855,1777035796.855351,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.83,""cy"":438.05,""w"":86.26,""h"":103.91,""x1"":200,""y1"":97,""x2"":222,""y2"":123,""conf"":0.6019,""depth_m"":null,""depth_valid"":false}]",0.6019,844.83,438.05,86.26,103.91,,4.99,9.97,9.97,4.99,134.83,1152.74,43.50,43.50,0.97,159.50,153.98,977.81,0.46,0.09,0.03,0.25,2.04,0.00,0.21,205.51
2026-04-24T16:03:16.955,1777035796.954999,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.83,""cy"":438.05,""w"":86.26,""h"":103.91,""x1"":200,""y1"":97,""x2"":222,""y2"":123,""conf"":0.6019,""depth_m"":null,""depth_valid"":false}]",0.6019,844.83,438.05,86.26,103.91,,6.66,9.99,6.66,6.66,191.38,1227.31,0.49,35.30,0.49,159.50,153.98,1091.33,0.47,0.08,0.03,0.27,0.16,0.00,0.10,160.63
2026-04-24T16:03:17.054,1777035797.054859,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":845.09,""cy"":437.57,""w"":86.08,""h"":103.92,""x1"":201,""y1"":96,""x2"":222,""y2"":122,""conf"":0.5973,""depth_m"":null,""depth_valid"":false}]",0.5973,845.09,437.57,86.08,103.92,,7.50,10.00,7.50,5.00,191.38,1227.31,1.07,30.45,1.07,154.49,152.66,1118.80,2.76,0.07,0.02,2.55,0.05,0.00,0.00,158.37
2026-04-24T16:03:17.155,1777035797.155409,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":845.09,""cy"":437.57,""w"":86.08,""h"":103.92,""x1"":201,""y1"":96,""x2"":222,""y2"":122,""conf"":0.5973,""depth_m"":null,""depth_valid"":false}]",0.5973,845.09,437.57,86.08,103.92,,9.99,9.99,5.99,5.99,54.42,1303.84,2.55,39.80,2.55,154.49,137.40,1118.80,2.10,0.08,0.02,1.91,0.06,0.00,0.00,159.20
2026-04-24T16:03:17.254,1777035797.254926,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":845.11,""cy"":437.71,""w"":85.74,""h"":103.54,""x1"":201,""y1"":96,""x2"":222,""y2"":122,""conf"":0.5866,""depth_m"":null,""depth_valid"":false}]",0.5866,845.11,437.71,85.74,103.54,,10.00,10.00,6.66,6.66,99.63,1347.86,0.44,38.91,0.44,139.04,137.40,874.44,0.64,0.07,0.02,0.45,1.53,0.00,1.42,141.65
2026-04-24T16:03:17.354,1777035797.354889,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.99,""cy"":437.52,""w"":86.41,""h"":103.45,""x1"":200,""y1"":96,""x2"":222,""y2"":122,""conf"":0.5884,""depth_m"":null,""depth_valid"":false}]",0.5884,844.99,437.52,86.41,103.45,,8.57,10.00,7.14,5.71,99.63,1347.86,36.92,36.92,0.44,157.33,154.56,479.12,0.64,0.07,0.02,0.45,1.53,0.00,1.42,196.42
2026-04-24T16:03:17.457,1777035797.457443,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.85,""cy"":438.24,""w"":86.09,""h"":103.79,""x1"":200,""y1"":97,""x2"":222,""y2"":123,""conf"":0.5892,""depth_m"":null,""depth_valid"":false}]",0.5892,844.85,438.24,86.09,103.79,,9.97,9.97,7.48,6.23,5.46,1078.50,45.27,45.27,0.52,123.55,121.92,567.04,0.31,0.06,0.01,0.17,0.06,0.00,0.00,169.19
2026-04-24T16:03:17.554,1777035797.554763,exp_latency_mediumq_repeat,400_lux,latency_medium_quality_depth,,Medium quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":844.85,""cy"":438.24,""w"":86.09,""h"":103.79,""x1"":200,""y1"":97,""x2"":222,""y2"":123,""conf"":0.5892,""depth_m"":null,""depth_valid"":false}]",0.5892,844.85,438.24,86.09,103.79,,10.00,10.00,6.67,6.67,107.36,670.36,29.77,29.77,3.48,123.55,121.92,567.04,0.43,0.07,0.02,0.22,0.28,0.00,0.20,154.03
